Nyltech,EJ88S,OtherColor,OtherMaterial,Reentrant,,x,,,,0.024,0.03,0.036,0.026,0.6096,0.7620,0.9144,0.6604,https://www.daddario.com/products/guitar/ukulele/nyltech-ukulele/ej88s-nyltech-ukulele-soprano/,2.77598304,2.56733072,2.30878328,2.5854744,
Nyltech,EJ88C,OtherColor,OtherMaterial,Reentrant,,,x,,,0.024,0.031,0.037,0.0260,0.6096,0.7874,0.9398,0.6604,https://www.daddario.com/products/guitar/ukulele/nyltech-ukulele/ej88c-nyltech-ukulele-concert/,3.9462504,3.68770296,3.27493424,3.65595152,
Nyltech,EJ88T,OtherColor,OtherMaterial,Reentrant,,,,x,,0.026,0.032,0.038,0.0280,0.6604,0.8128,0.9652,0.7112,https://www.daddario.com/products/guitar/ukulele/nyltech-ukulele/ej88t-nyltech-ukulele-tenor/,5.57010976,4.97590424,4.38623464,5.13012552,
Nyltech,EJ88B,OtherColor,OtherMaterial,Reentrant,,,,,x,0.026,0.036,0.024,0.03,0.6604,0.9144,0.6096,0.7620,https://www.daddario.com/products/guitar/ukulele/nyltech-ukulele/ej88b-nyltech-ukulele-baritone/,4.1503668,4.39077056,3.47451472,3.66048744,
Pro-Arte Nylon,EJ65S,Light,Nylon,Reentrant,,x,,,,0.024,0.032,0.034,0.028,0.6096,0.8128,0.8636,0.7112,https://www.daddario.com/products/guitar/ukulele/nyltech-ukulele/ej88b-nyltech-ukulele-baritone/,4.37262688,3.11617704,3.06628192,3.4699788,
Pro-Arte Nylon,EJ65C,Light,Nylon,Reentrant,,,x,,,0.028,0.0322,0.0403,0.028,0.7112,0.8179,1.0236,0.7112,https://www.daddario.com/products/guitar/ukulele/pro-arte-nylon-ukulele/ej65c-pro-arte-custom-extruded-ukulele-concert/,4.7173568,4.3771628,3.40194,4.88972176,
Pro-Arte Nylon,EJ65T,Light,Nylon,Reentrant,,,,x,,0.0285,0.0327,0.041,0.029,0.7239,0.8306,1.0414,0.7366,https://www.daddario.com/products/guitar/ukulele/pro-arte-nylon-ukulele/ej65t-pro-arte-custom-extruded-ukulele-tenor/,5.97380664,4.34994728,4.23654928,5.00765568,
Pro-Arte Nylon,EJ65TLG,Light,Nylon,Linear,x,,,x,,0.0285,0.0327,0.041,0.029,0.7239,0.8306,1.0414,0.7366,https://www.daddario.com/products/guitar/ukulele/pro-arte-nylon-ukulele/ej65tlg-pro-arte-custom-extruded-ukulele-tenor-low-g/,5.97834256,4.34994728,4.23654928,4.99404792,
Pro-Arte Nylon,EJ65B,Light,Nylon,Linear,x,,,,x,0.028,0.034,0.03,0.035,0.7112,0.8636,0.7620,0.8890,https://www.daddario.com/products/guitar/ukulele/pro-arte-nylon-ukulele/ej65b-pro-arte-custom-extruded-ukulele-baritone/,5.33877784,4.68106944,6.51811704,6.74491304,DGBE
Pro-Arte Carbon,EJ99SC,Clear,Fluorocarbon,Reentrant,,x,x,,,0.02,0.026,0.032,0.022,0.5080,0.6604,0.8128,0.5588,https://www.daddario.com/products/guitar/ukulele/pro-arte-carbon-ukulele/ej99sc-pro-arte-carbon-ukulele-soprano-concert/,3.5833768,3.23411096,3.07081784,3.39740408,
