Hard,,Clear,Fluorocarbon,Reentrant,,x,x,x,,0.023,0.028,0.036,0.025,0.5842,0.7112,0.9144,0.6350,https://theukulelesite.com/ukelogic-hard.html,,,,,
Hard - Pink,,Other,Fluorocarbon,Reentrant,,x,x,x,,0.023,0.028,0.036,0.025,0.5842,0.7112,0.9144,0.6350,https://theukulelesite.com/ukelogic-hard.html,,,,,
Hard - Low G,,Clear,Fluorocarbon,Linear,x,x,x,x,,0.023,0.028,0.036,0.042,0.5842,0.7112,0.9144,1.0668,https://theukulelesite.com/ukelogic-hard.html,,,,,
Hard - Pink - Low G,,Other,Fluorocarbon,Linear,x,x,x,x,,0.023,0.028,0.036,0.042,0.5842,0.7112,0.9144,1.0668,https://theukulelesite.com/ukelogic-hard.html,,,,,
Hard - Wound Low G,,Clear,Fluorocarbon,Linear,x,x,x,x,,0.023,0.028,0.036,0.03,0.5842,0.7112,0.9144,0.7620,https://theukulelesite.com/ukelogic-hard.html,,,,,
Hard - Pink - Wound Low G,,Other,Fluorocarbon,Linear,x,x,x,x,,0.023,0.028,0.036,0.03,0.5842,0.7112,0.9144,0.7620,https://theukulelesite.com/ukelogic-hard.html,,,,,
Soft,,Clear,Fluorocarbon,Reentrant,,x,x,x,,0.019,0.025,0.032,0.023,0.4826,0.6350,0.8128,0.5842,https://theukulelesite.com/ukelogic-soft.html,,,,,
Soft - Pink,,Other,Fluorocarbon,Reentrant,,x,x,x,,0.019,0.025,0.032,0.023,0.4826,0.6350,0.8128,0.5842,https://theukulelesite.com/ukelogic-soft.html,,,,,
Soft - Low G,,Clear,Fluorocarbon,Linear,x,x,x,x,,0.019,0.025,0.032,0.036,0.4826,0.6350,0.8128,0.9144,https://theukulelesite.com/ukelogic-soft.html,,,,,
Soft - Pink - Low G,,Other,Fluorocarbon,Linear,x,x,x,x,,0.019,0.025,0.032,0.036,0.4826,0.6350,0.8128,0.9144,https://theukulelesite.com/ukelogic-soft.html,,,,,
Soft - Wound Low G,,Clear,Fluorocarbon,Linear,x,x,x,x,,0.019,0.025,0.032,0.03,0.4826,0.6350,0.8128,0.7620,https://theukulelesite.com/ukelogic-soft.html,,,,,
Soft - Pink - Wound Low G,,Other,Fluorocarbon,Linear,x,x,x,x,,0.019,0.025,0.032,0.03,0.4826,0.6350,0.8128,0.7620,https://theukulelesite.com/ukelogic-soft.html,,,,,
Hard - High D,,Clear,Fluorocarbon,Reentrant,,,,,x,0.023,0.028,0.036,0.025,0.5842,0.7112,0.9144,0.6350,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Hard - Pink - High D,,Other,Fluorocarbon,Reentrant,,,,,x,0.023,0.028,0.036,0.025,0.5842,0.7112,0.9144,0.6350,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Hard - Low D,,Clear,Fluorocarbon,Linear,x,,,,x,0.023,0.028,0.036,0.042,0.5842,0.7112,0.9144,1.0668,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Hard - Pink - Low D,,Other,Fluorocarbon,Linear,x,,,,x,0.023,0.028,0.036,0.042,0.5842,0.7112,0.9144,1.0668,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Hard - Wound Low D,,Clear,Fluorocarbon,Linear,x,,,,x,0.023,0.028,0.036,0.03,0.5842,0.7112,0.9144,0.7620,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Hard - Pink - Wound Low D,,Other,Fluorocarbon,Linear,x,,,,x,0.023,0.028,0.036,0.03,0.5842,0.7112,0.9144,0.7620,https://theukulelesite.com/ukelogic-hard-baritone.html,,,,,DGBE
Soft - High D,,Clear,Fluorocarbon,Reentrant,,,,,x,0.019,0.025,0.032,0.023,0.4826,0.6350,0.8128,0.5842,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
Soft - Pink - High D,,Other,Fluorocarbon,Reentrant,,,,,x,0.019,0.025,0.032,0.023,0.4826,0.6350,0.8128,0.5842,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
Soft - Low D,,Clear,Fluorocarbon,Linear,x,,,,x,0.019,0.025,0.032,0.036,0.4826,0.6350,0.8128,0.9144,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
Soft - Pink - Low D,,Other,Fluorocarbon,Linear,x,,,,x,0.019,0.025,0.032,0.036,0.4826,0.6350,0.8128,0.9144,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
Soft - Wound Low D,,Clear,Fluorocarbon,Linear,x,,,,x,0.019,0.025,0.032,0.03,0.4826,0.6350,0.8128,0.7620,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
Soft - Pink - Wound Low D,,Other,Fluorocarbon,Linear,x,,,,x,0.019,0.025,0.032,0.03,0.4826,0.6350,0.8128,0.7620,https://theukulelesite.com/ukelogic-soft-baritone.html,,,,,DGBE
